ZIP,% of County Population,Type,Primary City,Acceptable Cities,Unacceptable Cities,
07731,6%,Standard,Howell,Wall Township,"Wall, Wall Twp",
07734,2%,Standard,Keansburg,,"East Keansburg, Ideal Beach, W Keansburg, West Keansburg",
07735,3%,Standard,Keyport,Union Beach,"Cliffwood Bch, Cliffwood Beach",
07737,0.7%,Standard,Leonardo,,,
07738,1.0%,Standard,Lincroft,,,
07739,0.9%,Standard,Little Silver,,Little Silver Point,
07740,5%,Standard,Long Branch,,"Elberon, West End",
08736,2%,Standard,Manasquan,,"Wall, Wall Township, Wall Twp",
07746,3%,Standard,Marlboro,,Bradevelt,
07747,3%,Standard,Matawan,Aberdeen,Strathmore,
07748,4%,Standard,Middletown,"N Middletown, New Monmouth, North Middletown",,
08510,0.8%,Standard,Millstone Township,"Clarksburg, Millstone Twp",Millstone,
08535,0.9%,Standard,Millstone Township,"Millstone Twp, Perrineville",Millstone,
07750,0.5%,Standard,Monmouth Beach,Monmouth Bch,,
07751,3%,Standard,Morganville,,,
07753,6%,Standard,Neptune,"Neptune City, Tinton Falls, Wall Township","Shark River Hills, Wall",
07755,1.0%,Standard,Oakhurst,,Elberon Park,
07756,0.5%,Standard,Ocean Grove,,,
07757,0.8%,Standard,Oceanport,,"Monmouth Park, Port-au-peck, Sands Point",
07758,0.8%,Standard,Port Monmouth,,Cedar Beach,
07701,4%,Standard,Red Bank,Tinton Falls,Westboro,
08555,0.1%,PO Box,Roosevelt,,,
07760,2%,Standard,Rumson,"Locust, Sea Bright",,
08750,0.6%,Standard,Sea Girt,,"Wall, Wall Township, Wall Twp",
07702,0.6%,Standard,Shrewsbury,Red Bank,,
07762,1%,Standard,Spring Lake,,"Spring Heights, Spring Lake Heights, Wall, Wall Township, Wall Twp",
08691,0.0%,Standard,Trenton,"Hamilton, Robbinsville","Hamilton Township, Hamilton Twp, Uppr Free Twp",
07764,1%,Standard,West Long Branch,W Long Branch,,
08005,4%,Standard,Barnegat,,"Barnegat Township, Warren Grove",
08006,0.1%,PO Box,Barnegat Light,Barnegat Lgt,Barnegat Light Boro,
08721,4%,Standard,Bayville,,"Berkeley Township, Berkeley Twp",
08008,1%,Standard,Beach Haven,"Harvey Cedars, Long Bch Twp, Long Beach, Long Beach Township, Ship Bottom, Surf City","Brant Beach, Harvey Cedars Boro, High Bar Harbor, Loveladies, North Beach, Ship Bottom Boro, Surf City Boro",
08722,2%,Standard,Beachwood,,,
08723,6%,Standard,Brick,Osbornville,Bricktown,
08724,7%,Standard,Brick,Wall Township,"Bricktown, Wall, Wall Twp",
08514,0.3%,Standard,Cream Ridge,,"Creamridge, Upper Freehold Township",
08731,4%,Standard,Forked River,,Lacey,
08732,0.3%,PO Box,Island Heights,Island Hgts,,
08527,9%,Standard,Jackson,,"Jackson Township, Jackson Twp",
08733,0.5%,Standard,Lakehurst,"Lakehurst Nae, Lakehurst Naec","Manchester, Manchester Township, Manchester Twp",
08701,16%,Standard,Lakewood,,,
08734,1%,Standard,Lanoka Harbor,,Lacey Township,
08735,0.5%,Standard,Lavallette,,,
08050,4%,Standard,Manahawkin,"Stafford Township, Stafford Twp","Beach Haven West, Cedar Bonnet Island",
08759,6%,Standard,Manchester Township,"Lakehurst, Manchester, Manchester Tw, Whiting",,
08738,0.2%,Standard,Mantoloking,,,
08533,1%,Standard,New Egypt,,"Plumsted, Plumsted Township, Plumsted Twp",
08740,0.3%,PO Box,Ocean Gate,,,
08741,0.4%,Standard,Pine Beach,,,
08742,4%,Standard,Point Pleasant Beach,"Bay Head, Point Pleasant Boro, Pt Pleas Bch, Pt Pleasant, Pt Pleasant B, Pt Pleasant Beach",Point Pleasant,
08751,0.7%,Standard,Seaside Heights,Seaside Hgts,"Ortley Beach, Pelican Island",
08752,0.4%,Standard,Seaside Park,,"S Seaside Pk, South Seaside Park",
08753,11%,Standard,Toms River,,"Berkeley, Dover Township, Dover Twp",
08755,4%,Standard,Toms River,,,
08757,6%,Standard,Toms River,,"Berkeley, Berkeley Township, Berkeley Twp, S Toms River, South Toms River",
08087,4%,Standard,Tuckerton,"Little Egg Harbor, Little Egg Harbor Twp, Ltl Egg Hbr, Mystic Islands, Mystic Islnds","Leh, Parkertown, Tuckerton Boro, West Tuckerton",
08758,1%,Standard,Waretown,,,
08092,0.6%,Standard,West Creek,,"Cedar Run, Eagleswood Township, Mayetta, Staffordville",
08501,0.1%,Standard,Allentown,,Upper Freehold,
08512,1%,Standard,Cranbury,East Windsor,E Windsor,
08520,8%,Standard,Hightstown,East Windsor,E Windsor,
08525,1%,Standard,Hopewell,,"Hopewell Township, Hopewell Twp",
08530,0.1%,Standard,Lambertville,,West Amwell,
08648,9%,Standard,Lawrence Township,"Lawrence, Lawrence Twp, Lawrenceville, Trenton",,
08534,4%,Standard,Pennington,,,
08540,9%,Standard,Princeton,,"Princeton Township, Princeton Twp",
08542,1%,Standard,Princeton,,,
08550,5%,Standard,Princeton Junction,"Princeton Jct, West Windsor","W Windsor, W Windsor Township, West Win Tow",
08558,0.0%,Standard,Skillman,,Montgomery,
08560,1.0%,Standard,Titusville,Ewing,,
08608,0.3%,Standard,Trenton,,,
08609,4%,Standard,Trenton,Hamilton,,
08610,8%,Standard,Trenton,Hamilton,"Hamilton Township, Hamilton Twp",
08611,8%,Standard,Trenton,Hamilton,"Hamilton Township, Hamilton Twp",
08618,10%,Standard,Trenton,Ewing,"Ewing Township, Ewing Twp",
08619,6%,Standard,Trenton,"Hamilton, Mercerville","Hamilton Township, Hamilton Twp",
08620,3%,Standard,Trenton,Hamilton,"Groveville, Hamilton Township, Hamilton Twp",
08628,3%,Standard,Trenton,"Ewing, West Trenton","Ewing Township, Ewing Twp",
08629,3%,Standard,Trenton,Hamilton,"Hamilton Township, Hamilton Twp",
08638,6%,Standard,Trenton,Ewing,"Ewing Township, Ewing Twp",
08690,5%,Standard,Trenton,"Hamilton, Hamilton Sq, Hamilton Square","Hamilton Township, Hamilton Twp",
08691,4%,Standard,Trenton,"Hamilton, Robbinsville","Hamilton Township, Hamilton Twp, Uppr Free Twp",
08561,0.1%,PO Box,Windsor,,,
06801,2%,Standard,Bethel,,,
06604,3%,Standard,Bridgeport,,,
06605,3%,Standard,Bridgeport,,,
06606,5%,Standard,Bridgeport,,,
06607,0.9%,Standard,Bridgeport,,,
06608,2%,Standard,Bridgeport,,,
06610,3%,Standard,Bridgeport,,,
06804,2%,Standard,Brookfield,Brookfld Ctr,Brookfield Center,
06807,0.8%,Standard,Cos Cob,,,
06810,5%,Standard,Danbury,,,
06811,3%,Standard,Danbury,,,
06820,2%,Standard,Darien,,"Noroton, Noroton Heights, Tokeneke",
06612,0.8%,Standard,Easton,,,
06824,4%,Standard,Fairfield,,,
06825,2%,Standard,Fairfield,,,
06830,3%,Standard,Greenwich,,Belle Haven,
06831,2%,Standard,Greenwich,,Glenville,
06468,2%,Standard,Monroe,,"Stepney, Upper Stepney",
06840,2%,Standard,New Canaan,,,
06812,2%,Standard,New Fairfield,,,
06776,0.0%,Standard,New Milford,,Northville,
06470,2%,Standard,Newtown,,,
06850,2%,Standard,Norwalk,,,
06851,3%,Standard,Norwalk,,,
06853,0.4%,Standard,Norwalk,,Rowayton,
06854,3%,Standard,Norwalk,,South Norwalk,
06855,0.9%,Standard,Norwalk,,East Norwalk,
06856,0.0%,PO Box,Norwalk,,,
06870,0.8%,Standard,Old Greenwich,,,
06896,1.0%,Standard,Redding,West Redding,,
06877,3%,Standard,Ridgefield,,,
06878,0.9%,Standard,Riverside,,,
06482,1%,Standard,Sandy Hook,,,
06484,4%,Standard,Shelton,Huntington,,
06784,0.4%,Standard,Sherman,,,
06890,0.5%,Standard,Southport,,,
06901,0.7%,Standard,Stamford,,,
06902,7%,Standard,Stamford,,,
06903,2%,Standard,Stamford,,,
06905,2%,Standard,Stamford,Ridgeway,,
06906,1.0%,Standard,Stamford,,Glenbrook,
06907,1.0%,Standard,Stamford,,Springdale,
06614,4%,Standard,Stratford,,,
06615,2%,Standard,Stratford,,,
06611,4%,Standard,Trumbull,,,
06883,1%,Standard,Weston,,,
06880,3%,Standard,Westport,,Saugatuck,
06897,2%,Standard,Wilton,,,
06401,2%,Standard,Ansonia,,,
06403,0.7%,Standard,Beacon Falls,,,
06524,0.6%,Standard,Bethany,New Haven,,
06405,3%,Standard,Branford,,,
06410,3%,Standard,Cheshire,,,
06418,2%,Standard,Derby,,,
06512,4%,Standard,East Haven,New Haven,N Haven,
06437,3%,Standard,Guilford,,,
06514,3%,Standard,Hamden,New Haven,N Haven,
06517,2%,Standard,Hamden,"New Haven, Whitneyville",,
06518,2%,Standard,Hamden,New Haven,"Centerville-mount Carmel, Mount Carmel, N Haven",
06443,2%,Standard,Madison,,,
06450,4%,Standard,Meriden,,,
06451,3%,Standard,Meriden,,,
06762,0.9%,Standard,Middlebury,,,
06460,4%,Standard,Milford,,,
06461,2%,Standard,Milford,,,
06770,4%,Standard,Naugatuck,,Union City,
06510,0.3%,Standard,New Haven,,N Haven,
06511,6%,Standard,New Haven,Hamden,N Haven,
06513,5%,Standard,New Haven,East Haven,"E Haven, Fair Haven, N Haven",
06515,2%,Standard,New Haven,,"N Haven, Westville",
06519,2%,Standard,New Haven,,N Haven,
06471,0.9%,Standard,North Branford,N Branford,,
06473,3%,Standard,North Haven,,No Haven,
06472,0.8%,Standard,Northford,,,
06477,2%,Standard,Orange,,,
06478,2%,Standard,Oxford,Seymour,,
06712,1%,Standard,Prospect,Waterbury,,
06483,2%,Standard,Seymour,,,
06488,2%,Standard,Southbury,,,
06492,5%,Standard,Wallingford,Yalesville,,
06702,0.4%,Standard,Waterbury,,Wtby,
06704,3%,Standard,Waterbury,,"Plaza, Wtby",
06705,3%,Standard,Waterbury,Wolcott,"East End, Wtby",
06706,2%,Standard,Waterbury,,Wtby,
06708,3%,Standard,Waterbury,,Wtby,
06710,1%,Standard,Waterbury,,Wtby,
06516,6%,Standard,West Haven,W Haven,"Allingtown, N Haven, New Haven",
06716,2%,Standard,Wolcott,Waterbury,,
06525,1.0%,Standard,Woodbridge,,N Haven,
10910,0.0%,PO Box,Arden,,,
10911,0.0%,Standard,Bear Mountain,,,
10914,0.1%,PO Box,Blooming Grove,"Blooming Grv, S Bloomng Grv",,
12721,0.4%,Standard,Bloomingburg,,,
10915,0.0%,PO Box,Bullville,,,
10916,1%,Standard,Campbell Hall,,Camp Bell Hall,
10917,0.5%,Standard,Central Valley,Central Vly,,
10918,3%,Standard,Chester,,,
10919,0.3%,Standard,Circleville,,,
12518,2%,Standard,Cornwall,,,
12520,0.8%,Standard,Cornwall On Hudson,Cornwall Hdsn,"Cornwall Hud, Cornwall Hudson, Cornwall On The Hudson",
12729,0.5%,Standard,Cuddebackville,"Cuddebackvlle, Godeffroy",,
10921,1%,Standard,Florida,,,
10922,0.4%,PO Box,Fort Montgomery,Ft Montgomery,,
10924,4%,Standard,Goshen,,,
10925,1%,Standard,Greenwood Lake,Greenwood Lk,,
10926,0.9%,Standard,Harriman,,,
10928,1%,Standard,Highland Falls,Highland Fls,,
10930,2%,Standard,Highland Mills,Highland Mls,,
10932,0.0%,PO Box,Howells,,,
12746,0.3%,Standard,Huguenot,,,
10933,0.1%,PO Box,Johnson,,,
12542,0.1%,Standard,Marlboro,,Marlborough,
12543,0.8%,Standard,Maybrook,,,
10940,13%,Standard,Middletown,"Scotchtown, Scotchtown Branch",,
10941,4%,Standard,Middletown,"Scotchtown, Scotchtown Branch",,
10950,13%,Standard,Monroe,Kiryas Joel,S Bloomng Grv,
12549,3%,Standard,Montgomery,,,
10953,0.1%,PO Box,Mountainville,,,
10958,0.9%,Standard,New Hampton,,,
12553,7%,Standard,New Windsor,Newburgh,,
12550,15%,Standard,Newburgh,,"Balmville, Town Branch",
10963,1%,Standard,Otisville,,,
12566,1%,Standard,Pine Bush,,,
10969,0.3%,Standard,Pine Island,,,
12771,4%,Standard,Port Jervis,,Pt Jervis,
12575,0.6%,Standard,Rock Tavern,,,
12577,0.5%,Standard,Salisbury Mills,Salisbury Mls,,
10973,0.6%,Standard,Slate Hill,,,
10975,0.1%,Standard,Southfields,,,
12780,0.6%,Standard,Sparrow Bush,Sparrowbush,,
10979,0.1%,PO Box,Sterling Forest,Sterling Frst,,
10985,0.0%,Standard,Thompson Ridge,Thompson Rdg,,
10987,0.9%,Standard,Tuxedo Park,,Tuxedo,
10988,0.2%,PO Box,Unionville,,,
12586,3%,Standard,Walden,,,
12589,0.9%,Standard,Wallkill,,,
10990,6%,Standard,Warwick,,,
10992,3%,Standard,Washingtonville,Washingtonvle,,
10996,2%,Standard,West Point,,"United States Military Acade, West Point Military Reservat",
12785,0.1%,PO Box,Westbrookville,"Port Jervis, Westbrookvlle",,
10998,0.8%,Standard,Westtown,,,
12404,2%,Standard,Accord,,"Leibhardt, Lyonsville, Mettacahonts, Whitfield",
12406,0.1%,Standard,Arkville,,,
12409,0.4%,Standard,Bearsville,Shady,,
12410,0.2%,Standard,Big Indian,Oliverea,,
12411,0.3%,Standard,Bloomington,,,
12412,0.4%,Standard,Boiceville,,,
12416,0.2%,Standard,Chichester,,,
12725,0.1%,Standard,Claryville,,,
12515,0.8%,Standard,Clintondale,,,
12417,0.3%,PO Box,Connelly,,,
12419,0.4%,Standard,Cottekill,,,
12420,0.2%,PO Box,Cragsmoor,,,
12428,4%,Standard,Ellenville,,,
12429,0.2%,PO Box,Esopus,,,
12525,2%,Standard,Gardiner,,,
12432,0.3%,PO Box,Glasco,,,
12433,0.3%,Standard,Glenford,,,
12740,0.2%,Standard,Grahamsville,Sundown,,
12435,0.2%,Standard,Greenfield Park,Greenfld Park,,
12440,1%,Standard,High Falls,,,
12528,7%,Standard,Highland,,,
12441,0.0%,PO Box,Highmount,,,
12443,2%,Standard,Hurley,,,
12446,3%,Standard,Kerhonkson,,Cherrytown,
12401,19%,Standard,Kingston,"Eddyville, Saint Remy",St Remy,
12448,0.2%,Standard,Lake Hill,,,
12449,2%,Standard,Lake Katrine,,,
12758,0.0%,Standard,Livingston Manor,"Lew Beach, Livingstn Mnr",,
12453,0.2%,PO Box,Malden On Hudson,Malden Hudson,"Malden, Mldn On Hdsn",
12455,0.0%,Standard,Margaretville,,,
12542,3%,Standard,Marlboro,,Marlborough,
12547,2%,Standard,Milton,,,
12548,0.8%,Standard,Modena,,,
12456,0.4%,Standard,Mount Marion,,Mount Merion Park,
12457,0.4%,Standard,Mount Tremper,,,
12458,2%,Standard,Napanoch,,,
12561,10%,Standard,New Paltz,,,
12461,0.9%,Standard,Olivebridge,Krumville,"Olive, Samsonville",
12464,0.6%,Standard,Phoenicia,,,
12566,3%,Standard,Pine Bush,,,
12465,0.1%,Standard,Pine Hill,,,
12466,1%,Standard,Port Ewen,,,
12471,0.1%,PO Box,Rifton,,,
12472,0.9%,Standard,Rosendale,,,
12475,0.2%,PO Box,Ruby,,,
12477,10%,Standard,Saugerties,,West Saugerties,
12480,0.3%,Standard,Shandaken,,,
12481,0.7%,Standard,Shokan,,,
12483,0.1%,PO Box,Spring Glen,,,
12484,2%,Standard,Stone Ridge,,The Vly,
12486,0.8%,Standard,Tillson,,,
12487,2%,Standard,Ulster Park,,,
12586,0.0%,Standard,Walden,,,
12589,8%,Standard,Wallkill,,,
12489,0.7%,PO Box,Wawarsing,,,
12490,0.1%,PO Box,West Camp,,,
12491,0.9%,Standard,West Hurley,,W Hurley,
12493,0.3%,PO Box,West Park,,,
12494,0.4%,Standard,West Shokan,,W Shokan,
12495,0.1%,Standard,Willow,,,
12498,3%,Standard,Woodstock,,,
12501,0.8%,Standard,Amenia,,,
12504,0.5%,PO Box,Annandale On Hudson,"Annandale, Red Hook",,
12507,0.1%,Standard,Barrytown,Red Hook,,
12508,7%,Standard,Beacon,,,
12512,0.0%,PO Box,Chelsea,,,
12514,1.0%,Standard,Clinton Corners,Clinton Cors,Clinton Crn,
12522,2%,Standard,Dover Plains,,,
12524,5%,Standard,Fishkill,,,
12527,0.0%,PO Box,Glenham,,,
12531,1.0%,Standard,Holmes,,"Homes, Whaley Lake",
12533,9%,Standard,Hopewell Junction,"East Fishkill, Hopewell, Hopewell Jct, Wiccopee",,
12538,5%,Standard,Hyde Park,,,
12540,3%,Standard,Lagrangeville,,La Grange,
12545,2%,Standard,Millbrook,,,
12546,1.0%,Standard,Millerton,,,
12564,3%,Standard,Pawling,,,
12567,0.8%,Standard,Pine Plains,,"Gallatin, Mount Ross, Shekomeko",
12569,3%,Standard,Pleasant Valley,Pleasant Vly,,
12601,15%,Standard,Poughkeepsie,,,
12603,14%,Standard,Poughkeepsie,Arlington,,
12604,0.2%,Unique,Poughkeepsie,,Vassar College,
12570,3%,Standard,Poughquag,,,
12571,3%,Standard,Red Hook,Milan,,
12572,3%,Standard,Rhinebeck,,,
12574,0.1%,PO Box,Rhinecliff,,,
12578,0.8%,Standard,Salt Point,,,
12580,2%,Standard,Staatsburg,,Staatsburgh,
12581,0.8%,Standard,Stanfordville,,,
12582,2%,Standard,Stormville,,,
12583,0.6%,Standard,Tivoli,,Nevis,
12585,0.3%,Standard,Verbank,,,
12590,12%,Standard,Wappingers Falls,"New Hamburg, Wappingers Fl",Wappinger,
12592,0.5%,Standard,Wassaic,,,
12594,1%,Standard,Wingdale,,,
06750,0.8%,Standard,Bantam,,Litchfield,
06063,2%,Standard,Barkhamsted,"Pleasant Valley, Pleasant Vly, Winsted",,
06751,2%,Standard,Bethlehem,,,
06752,0.9%,Standard,Bridgewater,,,
06018,2%,Standard,Canaan,,"No Canaan, North Canaan",
06021,0.2%,Standard,Colebrook,,Colbrook,
06754,0.9%,Standard,Cornwall Bridge,"Cornwall Brg, Warren",,
06024,0.3%,Standard,East Canaan,,,
06031,0.7%,Standard,Falls Village,,"Canaan, South Canaan",
06755,0.6%,Standard,Gaylordsville,,,
06756,2%,Standard,Goshen,,,
06791,3%,Standard,Harwinton,Torrington,,
06757,1%,Standard,Kent,,,
06758,0.2%,Standard,Lakeside,,Morris,
06039,1.0%,Standard,Lakeville,,Hotchkiss School,
06759,3%,Standard,Litchfield,,,
06763,1%,Standard,Morris,,,
06057,4%,Standard,New Hartford,,"Bakersville, Nepaug",
06776,14%,Standard,New Milford,,Northville,
06777,0.9%,Standard,New Preston Marble Dale,"New Preston, Warren, Washington Depot, Washington Dt","Marble Dale, New Preston Marbledale, New Preston-marble Dale, Washington",
06058,0.9%,Standard,Norfolk,,,
06059,0.0%,Standard,North Canton,,,
06778,0.7%,Standard,Northfield,Thomaston,Litchfield,
06779,4%,Standard,Oakville,Watertown,,
06061,0.1%,PO Box,Pine Meadow,,,
06782,1%,Standard,Plymouth,,,
06065,0.2%,Standard,Riverton,,,
06783,1%,Standard,Roxbury,,,
06068,0.8%,Standard,Salisbury,,,
06069,1%,Standard,Sharon,,"Sharon Valley, West Woods",
06784,0.1%,Standard,Sherman,,,
06785,0.4%,Standard,South Kent,,,
06786,5%,Standard,Terryville,,,
06787,4%,Standard,Thomaston,,Northfield,
06790,19%,Standard,Torrington,,,
06793,0.6%,Standard,Washington,"Washington Depot, Washington Dt",Washington Green,
06794,0.6%,Standard,Washington Depot,Washington Dt,Washington,
06708,0.0%,Standard,Waterbury,,Wtby,
06795,7%,Standard,Watertown,,Oakville,
06796,0.5%,Standard,West Cornwall,,Cornwall,
06098,7%,Standard,Winsted,"Winchester Center, Winchestr Ctr",Winchester,
06798,5%,Standard,Woodbury,,,